Gopal Das ,1,-0.5824
Shreshth Vashist,2,-0.0073
25550717,3,-0.0657
Nimrita Koul Pandita,4,-0.507
Maheswar Deka,5,-0.1408
Rayees Dar,6,-0.3651
Purushesh Naad,7,-0.2521
Vidyasagar Paul,8,-0.2216
Sruthi Inguva,9,-0.3159
Kaushlendra Singh ,10,0.0956
Wani Absar,11,0.743
Satish Gupte ,12,-0.0093
Gani Kaak,13,0.1165
Alqama Pervez ,14,-0.296
Vivek Kumar ,15,-0.5306
Jerrin Koduvath,16,0.796
8860088,17,-0.296
Usman Ghazi ,18,0.4606
Padmanabhan Venkatesan ,19,0.0778
Abhishek Singh ,20,0.0725
Ravi Kant ,21,-0.0735
Avdhesh Pandey,22,0.5766
Maheswar Deka,5,0.0844
Malik Fahd,23,-0.0625
Ankush Sharma ,24,0.1806
16981544,25,0.146
28708693,26,-0.2334
Arsalan Shah ,27,0.0188
Sayed Khalid Faredie,28,-0.0831
25275880,29,-0.148
Irshad Bhat ,30,0.3182
Rahul Adak,31,0.1832
Gaurav ,32,-0.4215
Sibte Ali,33,0.102
Gyan Rohra,34,-0.0527
11463447,35,-0.1601
Rajat Gupta ,36,-0.296
Paras Sharma ,37,-0.0936
Mayur Manudhanya,38,-0.3697
11625091,39,-0.17
Gunjan Kalita ,40,-0.1796
Saksham Bathla ,41,-0.0285
Mohammad Noor Alam ,42,-0.3712
Jamal Siddiqui,43,-0.0873
Kevin Mathew ,44,-0.1908
Gaurav ,32,-0.6873
Shaswat Nayak ,45,0.0179
Jatinpal Singh,46,0.6365
Vishrut Dinesh,47,0.2168
Shashi Kanth ,48,0.0
Sahask,49,-0.25
Lokvikyath Kurugundla,50,-0.0917
Shanu Khan ,51,0.1754
Mukesh Sharma ,52,0.0599
Anzar Shah ,53,-0.1591
Pratik Kale ,54,0.0
John Cena ,55,0.0797
Sayed Khalid Faredie,28,-0.1288
Anand Kaul ,56,-0.1416
Ruddy Raar,57,-0.3663
18500024,58,-0.1722
Musa Zargar,59,0.0
Maheswar Deka,5,-0.0659
11143945,60,-0.0917
11469882,61,-0.9128
Joseph Boyle,62,0.1169
Umar Suharwardy ,63,0.1726
Parray Saleem,64,0.5419
Sagar Hindustani,65,0.5097
Kamal Gupta ,66,-0.1107
25224720,67,-0.25
Vinam Singh,68,-0.0104
Gopal Das ,1,-0.1513
Abhishek Mittal ,69,0.032
Nalin Savara,70,0.8928
Giridharan Velamore ,71,0.3565
Debabrata Roy,72,-0.1722
Ravi Bhat ,73,0.0466
Fazal Bhat,74,0.0192
Aboo Umar,75,-0.0794
Sibte Ali,33,0.05
Sheikh Shehzad Muhammad Al Lateef ,76,-0.4324
Danish ,77,-0.2599
Sashank Rangarajan,78,-0.139
Ankit Nagpal,79,-0.087
Jivrajsingh Sandhu,80,-0.1571
Nirmal Vachhani,81,-0.0041
Ankit Sharma ,82,-0.4715
Faisal Shafi ,83,0.0425
Owais Owais ,84,-0.0256
20039456,85,0.0616
Nikita Prashar,86,-0.5863
10338930,87,0.9151
Kaushalendra Rajput ,88,-0.0551
Jaidev Joshi,89,0.0638
Saswat Routroy,90,-0.1773
Rajan Jamwal,91,0.0456
Lateef Sagar,92,-0.2651
Aanehi Mundra,93,0.3438
Umang Mathur ,94,-0.1097
Ajay Sharma ,95,0.0616
Piyush Nawalgaria,96,0.0674
Kapil Bansal ,97,0.128
Sushovan Roy ,98,0.5776
Danish ,77,0.1166
Ravi Shankar Pandit,99,-0.0296
Arbazz Hoccane,100,0.0222
Rakesh Wagh,101,0.1853
Adish Jain ,102,-0.2233
Rajan Khajuria ,103,-0.1204
Giridharan Velamore ,71,-0.0236
Ronan Christian,104,-0.1887
Jatin Singh ,105,0.7876
Shubhankit Naresh,106,-0.1332
Madhav Pai,107,0.018
Ishabh Verma,108,-0.0066
Randhir Kapoor ,109,0.4939
Arjun Kumar ,110,-0.1401
RK Sharma ,111,0.1117
Shan Barani,112,-0.9246
Rafi Saeed,113,0.0044
Raj Kr ,114,0.0102
Sunil Sigma,115,0.1238
Prashant Mazumdar,116,-0.3954
Ameet Singh,117,0.2009
Dhaval Trivedi ,118,0.2173
Ashwani JP Singh,119,-0.0632
Nivesh Ram,120,0.2438
Naresh Trivedi ,121,-0.9538
Vinam Singh,68,-0.0621
Amitabh Dutta,122,-0.2448
Prayag Raj ,123,-0.1096
Anurag Kumar ,124,0.5109
14708455,125,0.0705
26583571,126,-0.1262
29140378,127,-0.0948
35169571,128,0.2438
Iqbal Singh ,129,-0.2094
Manish Shrivastava ,130,0.0705
Sam Perera ,131,0.2606
Shraddha Gurung ,132,0.1986
Zonaid Prithu,133,-0.1581
Geetanjali Sonawane,134,-0.1542
Anvit Shankar,135,-0.2047
Sandeep Goswami ,136,0.2549
16876105,137,0.067
Chit Dubey,138,0.1679
Akhil Chandran ,139,-0.0762
Pragya Bakshi ,140,-0.0414
