Gopal Das ,-0.5824
Shreshth Vashist,-0.0073
25550717,-0.0657
Nimrita Koul Pandita,-0.507
Maheswar Deka,-0.1408
Rayees Dar,-0.3651
Purushesh Naad,-0.2521
Vidyasagar Paul,-0.2216
Sruthi Inguva,-0.3159
Kaushlendra Singh ,0.0956
Wani Absar,0.743
Satish Gupte ,-0.0093
Gani Kaak,0.1165
Alqama Pervez ,-0.296
Vivek Kumar ,-0.5306
Jerrin Koduvath,0.796
8860088,-0.296
Usman Ghazi ,0.4606
Padmanabhan Venkatesan ,0.0778
Abhishek Singh ,0.0725
Ravi Kant ,-0.0735
Avdhesh Pandey,0.5766
Maheswar Deka,0.0844
Malik Fahd,-0.0625
Ankush Sharma ,0.1806
16981544,0.146
28708693,-0.2334
Arsalan Shah ,0.0188
Sayed Khalid Faredie,-0.0831
25275880,-0.148
Irshad Bhat ,0.3182
Rahul Adak,0.1832
Gaurav ,-0.4215
Sibte Ali,0.102
Gyan Rohra,-0.0527
11463447,-0.1601
Rajat Gupta ,-0.296
Paras Sharma ,-0.0936
Mayur Manudhanya,-0.3697
11625091,-0.17
Gunjan Kalita ,-0.1796
Saksham Bathla ,-0.0285
Mohammad Noor Alam ,-0.3712
Jamal Siddiqui,-0.0873
Kevin Mathew ,-0.1908
Gaurav ,-0.6873
Shaswat Nayak ,0.0179
Jatinpal Singh,0.6365
Vishrut Dinesh,0.2168
Shashi Kanth ,0.0
Sahask,-0.25
Lokvikyath Kurugundla,-0.0917
Shanu Khan ,0.1754
Mukesh Sharma ,0.0599
Anzar Shah ,-0.1591
Pratik Kale ,0.0
John Cena ,0.0797
Sayed Khalid Faredie,-0.1288
Anand Kaul ,-0.1416
Ruddy Raar,-0.3663
18500024,-0.1722
Musa Zargar,0.0
Maheswar Deka,-0.0659
11143945,-0.0917
11469882,-0.9128
Joseph Boyle,0.1169
Umar Suharwardy ,0.1726
Parray Saleem,0.5419
Sagar Hindustani,0.5097
